epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
82,1353.74,0.00154,0.99654,1,0.01321,0.007327,0.007327,0.007327
83,1369.79,0.00316,0.99654,1,0.01398,0.007294,0.007294,0.007294
84,1385.76,0.00288,0.99654,1,0.01679,0.007261,0.007261,0.007261
85,1401.73,0.00442,0.9977,1,0.00899,0.007228,0.007228,0.007228
86,1417.7,0.00459,0.99654,1,0.01945,0.007195,0.007195,0.007195
87,1433.69,0.00327,0.99654,1,0.0335,0.007162,0.007162,0.007162
88,1450.1,0.00356,0.9977,1,0.01508,0.007129,0.007129,0.007129
89,1466.21,0.00506,0.99654,1,0.01097,0.007096,0.007096,0.007096
90,1482.15,0.00387,0.99539,1,0.01422,0.007063,0.007063,0.007063
91,1498.15,0.00215,0.99654,1,0.01175,0.00703,0.00703,0.00703
92,1514.15,0.00277,0.99654,1,0.01296,0.006997,0.006997,0.006997
93,1530.12,0.00085,0.99654,1,0.01238,0.006964,0.006964,0.006964
94,1546.17,0.00099,0.99654,1,0.01414,0.006931,0.006931,0.006931
95,1562.1,0.00181,0.99654,1,0.01489,0.006898,0.006898,0.006898
96,1578.21,0.00148,0.99654,1,0.01056,0.006865,0.006865,0.006865
97,1594.45,0.00159,0.9977,1,0.00841,0.006832,0.006832,0.006832
98,1611.55,0.00292,0.99885,1,0.0085,0.006799,0.006799,0.006799
99,1629.46,0.00183,0.99654,0.99885,0.01514,0.006766,0.006766,0.006766
100,1647.18,0.00376,0.9977,1,0.01412,0.006733,0.006733,0.006733
101,1664.86,0.0026,0.99654,1,0.01484,0.0067,0.0067,0.0067
102,1682.88,0.00249,0.99654,1,0.01438,0.006667,0.006667,0.006667
103,1700.68,0.0033,0.99654,0.99885,0.01572,0.006634,0.006634,0.006634
104,1718.37,0.00407,0.99654,1,0.0231,0.006601,0.006601,0.006601
105,1735.95,0.0018,0.99654,1,0.01247,0.006568,0.006568,0.006568
106,1753.65,0.0008,0.99539,1,0.01305,0.006535,0.006535,0.006535
107,1771.64,0.00493,0.99654,1,0.00916,0.006502,0.006502,0.006502
108,1789.26,0.00199,0.99654,1,0.01035,0.006469,0.006469,0.006469
109,1806.33,0.00226,0.9977,1,0.01051,0.006436,0.006436,0.006436
110,1824.18,0.00179,0.99654,1,0.00972,0.006403,0.006403,0.006403
111,1841.01,0.00143,0.99539,1,0.00834,0.00637,0.00637,0.00637
112,1857.84,0.00103,0.9977,1,0.0092,0.006337,0.006337,0.006337
113,1875.48,0.00088,0.99654,1,0.0174,0.006304,0.006304,0.006304
114,1893.2,0.00052,0.99654,1,0.01066,0.006271,0.006271,0.006271
115,1910.62,0.00064,0.99654,1,0.01127,0.006238,0.006238,0.006238
116,1927.84,0.00078,0.9977,1,0.01241,0.006205,0.006205,0.006205
117,1944.67,0.00113,0.99654,1,0.01419,0.006172,0.006172,0.006172
118,1961.8,0.00053,0.99654,1,0.01367,0.006139,0.006139,0.006139
119,1978.47,0.00108,0.9977,1,0.01463,0.006106,0.006106,0.006106
120,1995.24,0.00171,0.9977,1,0.01473,0.006073,0.006073,0.006073
121,2011.96,0.00073,0.9977,1,0.01497,0.00604,0.00604,0.00604
