epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1089.73,0.79333,0.428,1.09533,0.99564,0.96808,0.99334,0.79534,0.77591,0.40423,1.22984,0.0017228,0.0017228,0.0017228
44,1114.84,0.80532,0.43389,1.11474,0.97565,0.98305,0.99412,0.78239,0.81377,0.40905,1.24281,0.0017162,0.0017162,0.0017162
45,1139.66,0.78629,0.41929,1.08674,0.9593,0.99882,0.99396,0.77318,0.83484,0.38249,1.25937,0.0017096,0.0017096,0.0017096
46,1164.97,0.76975,0.41218,1.08709,0.98717,0.97034,0.99138,0.8207,0.7351,0.38563,1.20784,0.001703,0.001703,0.001703
47,1190.59,0.78656,0.43386,1.10687,0.9957,0.98145,0.99462,0.79243,0.85972,0.38588,1.28109,0.0016964,0.0016964,0.0016964
48,1215.85,0.77318,0.42168,1.08602,0.97747,0.98305,0.9941,0.78271,0.83934,0.39438,1.2897,0.0016898,0.0016898,0.0016898
49,1240.95,0.75434,0.39784,1.07838,0.97898,0.98693,0.99407,0.79073,0.82866,0.39251,1.2668,0.0016832,0.0016832,0.0016832
50,1265.98,0.75674,0.40802,1.08975,0.9956,0.99153,0.99466,0.8065,0.80805,0.37114,1.24735,0.0016766,0.0016766,0.0016766
51,1290.97,0.75832,0.40858,1.07811,0.9738,0.99153,0.99319,0.78692,0.86037,0.39664,1.28461,0.00167,0.00167,0.00167
52,1315.95,0.76115,0.41528,1.07778,0.98672,0.98729,0.99429,0.77125,0.90755,0.46894,1.32071,0.0016634,0.0016634,0.0016634
53,1341.12,0.74014,0.40069,1.06423,0.99141,0.978,0.99441,0.7809,0.84311,0.39816,1.29584,0.0016568,0.0016568,0.0016568
54,1366.32,0.74309,0.40171,1.08332,0.99143,0.98093,0.99384,0.78124,0.87693,0.38372,1.28839,0.0016502,0.0016502,0.0016502
55,1391.44,0.7587,0.40494,1.08491,0.98466,0.97458,0.99246,0.78194,0.82423,0.38896,1.24671,0.0016436,0.0016436,0.0016436
56,1416.59,0.74406,0.39176,1.08397,0.99444,0.97881,0.9945,0.81495,0.78443,0.36103,1.21758,0.001637,0.001637,0.001637
57,1441.61,0.75254,0.39611,1.08215,0.98711,0.97311,0.99323,0.78308,0.84052,0.3855,1.27203,0.0016304,0.0016304,0.0016304
58,1466.63,0.76306,0.40127,1.08864,0.98617,0.98305,0.9939,0.79541,0.79146,0.37156,1.22499,0.0016238,0.0016238,0.0016238
59,1491.72,0.72562,0.3802,1.0673,0.98822,0.98729,0.99462,0.78334,0.83925,0.38785,1.27828,0.0016172,0.0016172,0.0016172
60,1516.97,0.7453,0.39037,1.08855,0.99955,0.97034,0.99318,0.79076,0.81574,0.37265,1.23191,0.0016106,0.0016106,0.0016106
61,1542.19,0.73345,0.38767,1.07454,0.99567,0.97521,0.9928,0.79491,0.77616,0.38756,1.21629,0.001604,0.001604,0.001604
62,1567.5,0.73344,0.38884,1.06517,0.97857,0.98729,0.99425,0.77628,0.86038,0.39963,1.29745,0.0015974,0.0015974,0.0015974
63,1592.69,0.74517,0.39595,1.07209,0.99061,0.98305,0.99414,0.7707,0.84678,0.39091,1.2846,0.0015908,0.0015908,0.0015908
64,1617.66,0.73071,0.38704,1.07285,0.98718,0.97889,0.99437,0.76887,0.86846,0.41903,1.29019,0.0015842,0.0015842,0.0015842
65,1642.82,0.72663,0.38444,1.07349,0.99084,0.97881,0.98938,0.79476,0.81678,0.3801,1.23943,0.0015776,0.0015776,0.0015776
66,1667.83,0.73589,0.38142,1.06479,0.97885,0.98729,0.99377,0.78708,0.79483,0.38543,1.22804,0.001571,0.001571,0.001571
67,1692.95,0.72644,0.37841,1.06272,0.99131,0.96647,0.98673,0.79265,0.79194,0.39803,1.21704,0.0015644,0.0015644,0.0015644
68,1718.3,0.7046,0.37592,1.06026,0.99044,0.97458,0.99394,0.79121,0.8064,0.38205,1.25716,0.0015578,0.0015578,0.0015578
69,1743.54,0.72212,0.3768,1.06511,0.98913,0.97034,0.99437,0.8103,0.77985,0.36194,1.2117,0.0015512,0.0015512,0.0015512
70,1768.8,0.69923,0.37732,1.05303,0.9908,0.98729,0.99479,0.80145,0.81984,0.37176,1.26268,0.0015446,0.0015446,0.0015446
71,1793.81,0.73249,0.39156,1.06283,0.98233,0.97034,0.99396,0.77252,0.86812,0.40436,1.30129,0.001538,0.001538,0.001538
72,1818.85,0.71436,0.38548,1.05301,0.99145,0.98217,0.99462,0.78873,0.83599,0.37405,1.27709,0.0015314,0.0015314,0.0015314
73,1843.91,0.72204,0.3859,1.05815,0.98578,0.97881,0.99395,0.80187,0.80516,0.37444,1.25089,0.0015248,0.0015248,0.0015248
74,1869.01,0.7238,0.39209,1.06635,0.99542,0.97034,0.9945,0.78148,0.87518,0.38177,1.30773,0.0015182,0.0015182,0.0015182
75,1894.22,0.71894,0.38154,1.06093,0.9784,0.99153,0.99436,0.80455,0.78049,0.36812,1.22111,0.0015116,0.0015116,0.0015116
76,1919.64,0.71225,0.37796,1.06249,0.98678,0.99153,0.99479,0.79112,0.86312,0.36674,1.30403,0.001505,0.001505,0.001505
77,1944.64,0.69439,0.35635,1.0302,0.98238,0.98305,0.99343,0.77557,0.84709,0.36755,1.27128,0.0014984,0.0014984,0.0014984
78,1969.85,0.70014,0.37052,1.04204,0.98287,0.99153,0.99462,0.7522,0.90792,0.37971,1.34484,0.0014918,0.0014918,0.0014918
79,1994.85,0.68125,0.36359,1.04276,0.98733,0.99085,0.99475,0.81399,0.81986,0.36351,1.25341,0.0014852,0.0014852,0.0014852
80,2020.15,0.68919,0.35447,1.05179,0.98738,0.99495,0.99479,0.79104,0.85783,0.35677,1.29834,0.0014786,0.0014786,0.0014786
81,2045.27,0.70255,0.35749,1.05238,0.99146,0.98346,0.99427,0.79752,0.79601,0.36588,1.24109,0.001472,0.001472,0.001472
82,2070.44,0.69101,0.35371,1.04229,0.99369,0.98729,0.99454,0.79143,0.81266,0.36215,1.2351,0.0014654,0.0014654,0.0014654
83,2095.47,0.70374,0.36454,1.05156,0.98728,0.98671,0.99454,0.7743,0.84899,0.37868,1.276,0.0014588,0.0014588,0.0014588
84,2120.52,0.69321,0.35774,1.04688,0.97906,0.99071,0.99436,0.77895,0.81055,0.36519,1.25101,0.0014522,0.0014522,0.0014522
85,2145.52,0.68758,0.35965,1.03823,0.99155,0.99428,0.99487,0.80672,0.79284,0.34392,1.23848,0.0014456,0.0014456,0.0014456
86,2170.54,0.6841,0.36083,1.04573,0.98308,0.98729,0.99235,0.79629,0.79175,0.35046,1.22839,0.001439,0.001439,0.001439
